Designator,Mid X,Mid Y,Rotation,Layer
_4,21.5,-32.5,0.0,top
_3,108.0,-29.0,0.0,top
_2,101.5,-106.0,0.0,top
,30.5,-97.5,0.0,top
E1,96.5,-50.375,90.0,top
J1,102.005,-95.0,90.0,top
J2,107.5,-75.25,90.0,top
J3,54.23,-33.5,270.0,top
J4,76.96,-30.0,0.0,top
MCU1,53.095686,-50.49494,270.0,top
Q1,94.0625,-75.45,180.0,top
Q2,77.2375,-99.25,0.0,top
Q3,77.2375,-93.25,0.0,top
Q4,77.2375,-87.25,0.0,top
Q5,77.2375,-105.25,0.0,top
Q6,92.45,-32.30625,90.0,top
Q7,97.075,-32.30625,90.0,top
Q8,94.0625,-69.5,180.0,top
R1,85.5875,-98.5,180.0,top
R10,97.0,-37.33125,270.0,top
R11,99.0,-62.0875,270.0,top
R12,94.0,-62.0,90.0,top
R13,101.0,-71.5,180.0,top
R14,101.0,-75.5,180.0,top
R15,101.0,-73.5,180.0,top
R16,101.0,-69.5,180.0,top
R17,90.0875,-75.5,180.0,top
R18,90.0875,-69.5,180.0,top
R2,68.675,-98.5,0.0,top
R3,85.5875,-92.5,180.0,top
R4,68.675,-92.5,0.0,top
R5,85.5875,-86.5,180.0,top
R6,68.675,-86.5,0.0,top
R7,85.5875,-104.5,180.0,top
R8,68.675,-104.5,0.0,top
R9,92.5,-37.41875,270.0,top
SW1,76.5,-74.5,0.0,top
SW10,55.25,-102.5,0.0,top
SW2,22.75,-77.5,0.0,top
SW3,39.0,-77.5,0.0,top
SW4,55.25,-77.5,0.0,top
SW5,22.75,-90.0,0.0,top
SW6,39.0,-90.0,0.0,top
SW7,55.25,-90.0,0.0,top
SW8,22.75,-102.5,0.0,top
SW9,39.0,-102.5,0.0,top
U1,51.87,-50.62,0.0,top
