Ref,Val,Package,PosX,PosY,Rot,Side
"Q1","BSS138","SOT-23",94.062500,-75.450000,0.000000,top
"Q2","BSS138","SOT-23",77.237500,-99.250000,180.000000,top
"Q3","BSS138","SOT-23",77.237500,-93.250000,180.000000,top
"Q4","BSS138","SOT-23",77.237500,-87.250000,180.000000,top
"Q5","BSS138","SOT-23",77.237500,-105.250000,180.000000,top
"Q6","BSS138","SOT-23",92.450000,-32.306250,-90.000000,top
"Q7","BSS138","SOT-23",97.075000,-32.306250,-90.000000,top
"Q8","BSS138","SOT-23",94.062500,-69.500000,0.000000,top
"R1","10K","R_0805_2012Metric",85.587500,-98.500000,180.000000,top
"R2","10K","R_0805_2012Metric",68.675000,-98.500000,0.000000,top
"R3","10K","R_0805_2012Metric",85.587500,-92.500000,180.000000,top
"R4","10K","R_0805_2012Metric",68.675000,-92.500000,0.000000,top
"R5","10K","R_0805_2012Metric",85.587500,-86.500000,180.000000,top
"R6","10K","R_0805_2012Metric",68.675000,-86.500000,0.000000,top
"R7","10K","R_0805_2012Metric",85.587500,-104.500000,180.000000,top
"R8","10K","R_0805_2012Metric",68.675000,-104.500000,0.000000,top
"R9","330R","R_0805_2012Metric",92.500000,-37.418750,-90.000000,top
"R10","330R","R_0805_2012Metric",97.000000,-37.331250,-90.000000,top
"R11","10K","R_0805_2012Metric",99.000000,-62.087500,-90.000000,top
"R12","10K","R_0805_2012Metric",94.000000,-62.000000,90.000000,top
"R13","0K","R_0805_2012Metric",101.000000,-71.500000,180.000000,top
"R14","0K","R_0805_2012Metric",101.000000,-75.500000,180.000000,top
"R15","10K","R_0805_2012Metric",101.000000,-73.500000,180.000000,top
"R16","10K","R_0805_2012Metric",101.000000,-69.500000,180.000000,top
"R17","10K","R_0805_2012Metric",90.087500,-75.500000,180.000000,top
"R18","10K","R_0805_2012Metric",90.087500,-69.500000,180.000000,top
