time,duration,poserror,pulsestostop,delay,pos,speed,accel,initial delay
129709718,169,-22.000000,1484,163.585297,-3734,6113.019043,12598.425781,6350.000000
129714877,176,-55.000000,1463,164.755692,-3713,6069.592773,12598.425781,6350.000000
129719132,184,-86.000000,1442,165.951584,-3692,6025.854004,12598.425781,6350.000000
129723395,183,-117.000000,1421,167.173889,-3671,5981.795410,12598.425781,6350.000000
129727672,173,-148.000000,1400,168.423584,-3650,5937.410645,12598.425781,6350.000000
129731944,185,-179.000000,1379,169.701752,-3629,5892.690918,12598.425781,6350.000000
129736266,184,-12.000000,1358,171.009491,-3608,5847.628906,12598.425781,6350.000000
129740583,184,-43.000000,1337,172.347900,-3587,5802.217285,12598.425781,6350.000000
129744916,189,-75.000000,1316,173.718277,-3566,5756.446777,12598.425781,6350.000000
129749232,184,-106.000000,1295,175.121826,-3545,5710.310547,12598.425781,6350.000000
129753558,184,-137.000000,1274,176.559937,-3524,5663.798828,12598.425781,6350.000000
129757885,186,-168.000000,1253,178.034088,-3503,5616.901855,12598.425781,6350.000000
129762210,183,-2.000000,1232,179.545776,-3482,5569.610352,12598.425781,6350.000000
129766527,184,-33.000000,1211,181.096619,-3461,5521.914062,12598.425781,6350.000000
129771152,184,-65.000000,1190,182.688385,-3440,5473.801758,12598.425781,6350.000000
129775600,185,-97.000000,1169,184.322968,-3419,5425.259766,12598.425781,6350.000000
129780256,204,-129.000000,1148,186.002106,-3398,5376.283203,12598.425781,6350.000000
129784908,189,-161.000000,1127,187.727966,-3377,5326.856934,12598.425781,6350.000000
129789573,204,-193.000000,1106,189.502762,-3356,5276.967773,12598.425781,6350.000000
129794291,203,-28.000000,1085,191.328857,-3335,5226.603027,12598.425781,6350.000000
129799025,209,-60.000000,1064,193.208786,-3314,5175.748047,12598.425781,6350.000000
129803738,203,-92.000000,1043,195.145203,-3293,5124.389160,12598.425781,6350.000000
129808459,203,-125.000000,1022,197.141052,-3272,5072.510254,12598.425781,6350.000000
129813187,203,-157.000000,1001,199.199448,-3251,5020.094238,12598.425781,6350.000000
129817904,205,-189.000000,980,201.323669,-3230,4967.125977,12598.425781,6350.000000
129822642,204,-24.000000,959,203.517258,-3209,4913.588379,12598.425781,6350.000000
129827634,224,-57.000000,938,205.784164,-3188,4859.460449,12598.425781,6350.000000
129832673,224,-89.000000,917,208.128510,-3167,4804.723633,12598.425781,6350.000000
129837735,224,-122.000000,896,210.555023,-3146,4749.352539,12598.425781,6350.000000
129842863,229,-155.000000,875,213.068268,-3125,4693.331543,12598.425781,6350.000000
129847982,229,-189.000000,854,215.673645,-3104,4636.635254,12598.425781,6350.000000
129853106,223,-24.000000,833,218.377029,-3083,4579.236328,12598.425781,6350.000000
129858227,223,-58.000000,812,221.184601,-3062,4521.110352,12598.425781,6350.000000
129863426,243,-91.000000,791,224.103348,-3041,4462.227051,12598.425781,6350.000000
129868835,229,-125.000000,770,227.140747,-3020,4402.556641,12598.425781,6350.000000
129874326,243,-159.000000,749,230.305038,-2999,4342.067383,12598.425781,6350.000000
129879849,245,-193.000000,728,233.605316,-2978,4280.724609,12598.425781,6350.000000
129885367,243,-29.000000,707,237.051666,-2957,4218.489746,12598.425781,6350.000000
129890882,249,-63.000000,686,240.655136,-2936,4155.323730,12598.425781,6350.000000
129896501,263,-97.000000,665,244.428040,-2915,4091.183594,12598.425781,6350.000000
129902366,263,-132.000000,644,248.384155,-2894,4026.021729,12598.425781,6350.000000
129908283,263,-167.000000,623,252.538712,-2873,3959.789062,12598.425781,6350.000000
129914271,263,-5.000000,602,256.908905,-2852,3892.430420,12598.425781,6350.000000
129920191,263,-40.000000,581,261.514069,-2831,3823.886230,12598.425781,6350.000000
129926286,282,-76.000000,560,266.376068,-2810,3754.091064,12598.425781,6350.000000
129932584,283,-112.000000,539,271.519592,-2789,3682.975342,12598.425781,6350.000000
129938908,288,-149.000000,518,276.972961,-2768,3610.460693,12598.425781,6350.000000
129945236,283,-185.000000,497,282.768555,-2747,3536.460938,12598.425781,6350.000000
129951942,289,-24.000000,476,288.943848,-2726,3460.880127,12598.425781,6350.000000
129958665,303,-61.000000,455,295.541992,-2705,3383.614014,12598.425781,6350.000000
129965453,303,-98.000000,434,302.613678,-2684,3304.543457,12598.425781,6350.000000
129972484,323,-136.000000,413,310.218292,-2663,3223.536621,12598.425781,6350.000000
129979593,322,-173.000000,392,318.426422,-2642,3140.442871,12598.425781,6350.000000
129986897,328,-14.000000,371,327.322235,-2621,3055.093262,12598.425781,6350.000000
129994385,342,-53.000000,350,337.007538,-2600,2967.292725,12598.425781,6350.000000
130002021,348,-92.000000,329,347.606293,-2579,2876.817871,12598.425781,6350.000000
130009936,369,-131.000000,308,359.271759,-2558,2783.408203,12598.425781,6350.000000
130018107,384,-172.000000,287,372.195709,-2537,2686.758545,12598.425781,6350.000000
130026525,402,-16.000000,266,386.621765,-2516,2586.507324,12598.425781,6350.000000
130035259,422,-56.000000,245,402.865570,-2495,2482.217529,12598.425781,6350.000000
130044357,422,-99.000000,224,421.343689,-2474,2373.359375,12598.425781,6350.000000
130053845,446,-143.000000,203,442.619995,-2453,2259.274414,12598.425781,6350.000000
